Index     {-I(VDD)}    
0        1.90795609e-12
1        3.45182379e-12
2        2.91908455e-11
3        4.49435379e-10
4        6.80622901e-09
5        8.47276363e-08
6        7.61539895e-07
7        4.11902988e-06
8        1.24107633e-05
9        2.55868127e-05
10       4.28709722e-05
11       6.36540413e-05
12       8.74120568e-05
13       1.13641339e-04
14       1.41861705e-04
15       1.71630660e-04
16       2.02551322e-04
17       2.34273236e-04
18       2.66488087e-04
End of Xyce(TM) Simulation
