TIME,{V(D)}
0.00000000e+00,1.80000000e+00
5.00000000e-05,1.79999940e+00
7.50000000e-05,1.79997284e+00
9.75000000e-05,1.79946063e+00
1.16128089e-04,1.79635488e+00
1.32057210e-04,1.78834515e+00
1.45612888e-04,1.77652776e+00
1.57785068e-04,1.76291174e+00
1.68740030e-04,1.74951045e+00
1.79694992e-04,1.73613623e+00
1.90649954e-04,1.72362966e+00
2.01604916e-04,1.71258924e+00
2.12559879e-04,1.70342305e+00
2.23514841e-04,1.69640326e+00
2.34469803e-04,1.69170590e+00
2.45424765e-04,1.68943573e+00
2.56379727e-04,1.68964006e+00
2.67334689e-04,1.69231471e+00
2.78289652e-04,1.69740351e+00
2.89244614e-04,1.70479116e+00
3.00199576e-04,1.71428785e+00
3.11154538e-04,1.72560220e+00
3.22109500e-04,1.73830166e+00
3.33064462e-04,1.75174264e+00
3.44019424e-04,1.76504956e+00
3.54974387e-04,1.77712523e+00
3.65929349e-04,1.78687150e+00
3.76884311e-04,1.79361435e+00
3.87839273e-04,1.79744672e+00
3.98794235e-04,1.79917361e+00
4.20704159e-04,1.79994939e+00
4.42614084e-04,1.79999853e+00
4.64524008e-04,1.79999950e+00
4.86433932e-04,1.80000043e+00
5.30253781e-04,1.79999956e+00
5.74073630e-04,1.80000043e+00
6.13511493e-04,1.79999956e+00
6.48739716e-04,1.80000043e+00
6.80445116e-04,1.79999956e+00
7.08979976e-04,1.80000044e+00
7.34661350e-04,1.79999956e+00
7.60342724e-04,1.80000044e+00
7.86024098e-04,1.79999956e+00
8.11705472e-04,1.80000044e+00
8.37386846e-04,1.79999956e+00
8.63068220e-04,1.80000044e+00
8.88749594e-04,1.79999956e+00
9.14430968e-04,1.80000044e+00
9.40112343e-04,1.79999956e+00
9.65793717e-04,1.80000044e+00
9.91475091e-04,1.79999956e+00
1.04283784e-03,1.80000025e+00
1.09420059e-03,1.79963737e+00
1.10147639e-03,1.79914772e+00
1.10875219e-03,1.79816178e+00
1.12330380e-03,1.79352398e+00
1.13785540e-03,1.78382400e+00
1.15240701e-03,1.76918073e+00
1.16695861e-03,1.75171388e+00
1.18151022e-03,1.73398491e+00
1.19606182e-03,1.71796336e+00
1.21061343e-03,1.70490105e+00
1.22516503e-03,1.69554400e+00
1.23971664e-03,1.69031141e+00
1.25426825e-03,1.68940784e+00
1.26881985e-03,1.69286486e+00
1.28337146e-03,1.70055437e+00
1.29792306e-03,1.71215311e+00
1.31247467e-03,1.72706963e+00
1.32702627e-03,1.74428661e+00
1.34157788e-03,1.76215005e+00
1.35612948e-03,1.77827897e+00
1.37068109e-03,1.79017956e+00
1.38523269e-03,1.79676375e+00
1.39978430e-03,1.79926095e+00
1.41433590e-03,1.79987926e+00
1.42888751e-03,1.79998480e+00
1.45799072e-03,1.79999964e+00
1.48709393e-03,1.80000019e+00
1.51619714e-03,1.79999980e+00
1.57440356e-03,1.80000019e+00
1.58246783e-03,1.80000000e+00
1.59053210e-03,1.80000000e+00
1.60666063e-03,1.80000000e+00
1.62278916e-03,1.80000000e+00
1.63891770e-03,1.80000000e+00
1.65504623e-03,1.80000000e+00
1.67117477e-03,1.80000000e+00
1.68730330e-03,1.80000000e+00
1.70343184e-03,1.80000000e+00
1.71956037e-03,1.80000000e+00
1.73568890e-03,1.80000000e+00
1.75181744e-03,1.80000000e+00
1.76794597e-03,1.80000000e+00
1.78407451e-03,1.80000000e+00
