FREQ,{VDB(D)}
1.00000000e+00,-1.15728676e+01
1.25892541e+00,-1.15728676e+01
1.58489319e+00,-1.15728676e+01
1.99526231e+00,-1.15728676e+01
2.51188643e+00,-1.15728676e+01
3.16227766e+00,-1.15728676e+01
3.98107171e+00,-1.15728676e+01
5.01187234e+00,-1.15728676e+01
6.30957344e+00,-1.15728676e+01
7.94328235e+00,-1.15728676e+01
1.00000000e+01,-1.15728676e+01
1.25892541e+01,-1.15728676e+01
1.58489319e+01,-1.15728676e+01
1.99526231e+01,-1.15728676e+01
2.51188643e+01,-1.15728676e+01
3.16227766e+01,-1.15728676e+01
3.98107171e+01,-1.15728676e+01
5.01187234e+01,-1.15728676e+01
6.30957344e+01,-1.15728676e+01
7.94328235e+01,-1.15728676e+01
1.00000000e+02,-1.15728676e+01
1.25892541e+02,-1.15728676e+01
1.58489319e+02,-1.15728676e+01
1.99526231e+02,-1.15728676e+01
2.51188643e+02,-1.15728676e+01
3.16227766e+02,-1.15728676e+01
3.98107171e+02,-1.15728676e+01
5.01187234e+02,-1.15728676e+01
6.30957344e+02,-1.15728676e+01
7.94328235e+02,-1.15728676e+01
1.00000000e+03,-1.15728676e+01
1.25892541e+03,-1.15728676e+01
1.58489319e+03,-1.15728676e+01
1.99526231e+03,-1.15728676e+01
2.51188643e+03,-1.15728676e+01
3.16227766e+03,-1.15728676e+01
3.98107171e+03,-1.15728676e+01
5.01187234e+03,-1.15728676e+01
6.30957344e+03,-1.15728676e+01
7.94328235e+03,-1.15728676e+01
1.00000000e+04,-1.15728676e+01
1.25892541e+04,-1.15728676e+01
1.58489319e+04,-1.15728676e+01
1.99526231e+04,-1.15728676e+01
2.51188643e+04,-1.15728676e+01
3.16227766e+04,-1.15728676e+01
3.98107171e+04,-1.15728676e+01
5.01187234e+04,-1.15728676e+01
6.30957344e+04,-1.15728676e+01
7.94328235e+04,-1.15728676e+01
1.00000000e+05,-1.15728676e+01
1.25892541e+05,-1.15728676e+01
1.58489319e+05,-1.15728676e+01
1.99526231e+05,-1.15728676e+01
2.51188643e+05,-1.15728676e+01
3.16227766e+05,-1.15728676e+01
3.98107171e+05,-1.15728676e+01
5.01187234e+05,-1.15728676e+01
6.30957344e+05,-1.15728676e+01
7.94328235e+05,-1.15728676e+01
1.00000000e+06,-1.15728676e+01
1.25892541e+06,-1.15728676e+01
1.58489319e+06,-1.15728676e+01
1.99526231e+06,-1.15728676e+01
2.51188643e+06,-1.15728676e+01
3.16227766e+06,-1.15728676e+01
3.98107171e+06,-1.15728676e+01
5.01187234e+06,-1.15728676e+01
6.30957344e+06,-1.15728676e+01
7.94328235e+06,-1.15728676e+01
1.00000000e+07,-1.15728676e+01
1.25892541e+07,-1.15728676e+01
1.58489319e+07,-1.15728676e+01
1.99526231e+07,-1.15728675e+01
2.51188643e+07,-1.15728675e+01
3.16227766e+07,-1.15728674e+01
3.98107171e+07,-1.15728673e+01
5.01187234e+07,-1.15728671e+01
6.30957344e+07,-1.15728668e+01
7.94328235e+07,-1.15728663e+01
1.00000000e+08,-1.15728655e+01
1.25892541e+08,-1.15728642e+01
1.58489319e+08,-1.15728622e+01
1.99526231e+08,-1.15728590e+01
2.51188643e+08,-1.15728540e+01
3.16227766e+08,-1.15728461e+01
3.98107171e+08,-1.15728335e+01
5.01187234e+08,-1.15728136e+01
6.30957344e+08,-1.15727820e+01
7.94328235e+08,-1.15727319e+01
1.00000000e+09,-1.15726525e+01
1.25892541e+09,-1.15725267e+01
1.58489319e+09,-1.15723273e+01
1.99526231e+09,-1.15720113e+01
2.51188643e+09,-1.15715106e+01
3.16227766e+09,-1.15707170e+01
3.98107171e+09,-1.15694597e+01
5.01187234e+09,-1.15674678e+01
6.30957344e+09,-1.15643127e+01
7.94328235e+09,-1.15593171e+01
1.00000000e+10,-1.15514120e+01
1.25892541e+10,-1.15389139e+01
1.58489319e+10,-1.15191828e+01
1.99526231e+10,-1.14881020e+01
2.51188643e+10,-1.14393147e+01
3.16227766e+10,-1.13631501e+01
3.98107171e+10,-1.12452369e+01
5.01187234e+10,-1.10649858e+01
6.30957344e+10,-1.07945260e+01
7.94328235e+10,-1.03993054e+01
1.00000000e+11,-9.84203551e+00
1.25892541e+11,-9.09098106e+00
1.58489319e+11,-8.13087066e+00
1.99526231e+11,-6.97138342e+00
2.51188643e+11,-5.64831272e+00
3.16227766e+11,-4.21744085e+00
3.98107171e+11,-2.74572786e+00
5.01187234e+11,-1.30376787e+00
6.30957344e+11,4.04707781e-02
7.94328235e+11,1.22889120e+00
1.00000000e+12,2.22205886e+00
